,date,event,myScore,opponent,place,player,result,theirScore,winnings
334,2014-09-13,2014 KeSPA Cup,0.0,herO,3 - 4th,Flash,0.0,3.0,4895.0
335,2014-08-31,IEM Season IX - Toronto,4.0,Zest,1st,Flash,1.0,1.0,10000.0
336,2013-03-17,2013 MLG Winter Championship,2.0,Life,2nd,Flash,0.0,4.0,15000.0
337,2012-11-04,2012 MLG Fall Championship,2.0,Life,3 - 4th,Flash,0.0,4.0,7250.0
338,2014-11-02,MSI Beat IT 2014,0.0,Rogue,4th,YoDa,0.0,3.0,2000.0
339,2014-10-05,2014 WCS Season 3 Europe/Premier,2.0,MMA,2nd,YoDa,0.0,4.0,15000.0
340,2013-03-09,IEM Season VII - World Championship,4.0,First,1st,YoDa,1.0,0.0,30000.0
341,2013-12-01,IEM Season VIII - Singapore,0.0,herO,3 - 4th,DongRaeGu,0.0,3.0,2000.0
342,2013-01-26,Iron Squid – Chapter II,3.0,Life,2nd,DongRaeGu,0.0,4.0,6250.0
343,2012-10-27,2012 Auction All Kill OnGameNet Starleague,1.0,Rain,2nd,DongRaeGu,0.0,4.0,18243.0
344,2012-07-19,2012 Global StarCraft II League Season 3: Code S,0.0,MC,3 - 4th,DongRaeGu,0.0,3.0,4392.0
345,2012-06-10,2012 MLG Spring Championship,3.0,Alicia,1st,DongRaeGu,1.0,1.0,25000.0
346,2012-03-25,2012 MLG Winter Championship,2.0,MarineKing,2nd,DongRaeGu,0.0,5.0,15000.0
347,2012-03-03,2012 Global StarCraft II League Season 1: Code S,4.0,Genius,1st,DongRaeGu,1.0,2.0,44837.0
348,2012-02-26,2012 MLG Winter Arena,2.0,MarineKing,2nd,DongRaeGu,0.0,4.0,6000.0
349,2011-12-17,2011 GSL Blizzard Cup,3.0,MMA,2nd,DongRaeGu,0.0,4.0,8600.0
350,2011-11-20,2011 MLG Pro Circuit Championship Providence,3.0,Leenock,3rd,DongRaeGu,0.0,4.0,15000.0
351,2011-10-16,IEM Season VI - Global Challenge New York,3.0,FruitDealer,1st,DongRaeGu,1.0,2.0,6500.0
352,2011-08-28,2011 MLG Pro Circuit Raleigh,1.0,CoCa,3rd,DongRaeGu,0.0,2.0,2000.0
353,2015-07-17,2015 DreamHack Open: Valencia,3.0,TRUE,1st,Curious,1.0,0.0,10000.0
354,2015-06-19,2015 Global StarCraft II League Season 2/Code S,2.0,Rain,3 - 4th,Curious,0.0,4.0,3610.0
355,2013-10-13,IEM Season VIII - New York,0.0,Life,3 - 4th,Curious,0.0,3.0,2000.0
356,2013-02-28,2013 Global StarCraft II League Season 1: Code S,2.0,Symbol,3 - 4th,Curious,0.0,4.0,4683.0
357,2011-10-10,2011 Global StarCraft II League October: Code A,4.0,Oz,1st,Curious,1.0,0.0,1285.0
