doubanID,imdbID,doubanURL,imdbURL,movieTitle,year,directorName,directorID,category,releaseDate,duration,relatedMovieIDs,doubanTotalVotes,imdbTotalVotes,doubanScore,imdbScore,douban-1star,douban-2star,douban-3star,douban-4star,douban-5star,imdb-1star,imdb-2star,imdb-3star,imdb-4star,imdb-5star,imdb-6star,imdb-7star,imdb-8star,imdb-9star,imdb-10star
26881114,tt6068960,https://movie.douban.com/subject/26881114,http://www.imdb.com/title/tt6068960,沃伦 Wołyń,2016,沃伊切赫·斯玛若夫斯基,/celebrity/1014805/,"['剧情', '历史', '战争']","['2016-09-23(格丁尼亚电影节)', '2016-10-07(波兰)']",150分钟,"['26591654', '27114240', '26595806', '26607693', '26356488', '26350706', '26325320', '26445216', '26936217', '26731376']",12978,3453,8.29033749422099,7.621488560671878,65,208,2025,6165,4516,193,27,31,52,90,243,603,935,630,649
1308054,tt0317676,https://movie.douban.com/subject/1308054,http://www.imdb.com/title/tt0317676,死亡之屋 The House of the Dead,2003,乌维·鲍尔,/celebrity/1010553/,"['动作', '恐怖']",['2003-10-10'],90 分钟,"['1747408', '3878151', '1437898', '1839849', '1830021', '2139188', '2286256', '2568032', '1900123', '3066787']",718,34509,3.799442896935933,2.343881306325886,305,223,154,24,11,19420,5555,3005,1855,1358,859,562,367,174,1354
26641616,tt3778010,https://movie.douban.com/subject/26641616,http://www.imdb.com/title/tt3778010,梦魔缠身 Dead Awake,2016,Phillip Guzman,/celebrity/1311791/,"['惊悚', '恐怖']","['2016-10-08(Shriekfest恐怖电影节)', '2017-05-12(美国)']",99分钟,"['27176597', '26815323', '26909798', '26438111', '26808805', '26882513', '26721430', '26302902', '26991054', '26956755']",88,2622,4.2727272727272725,4.909992372234935,19,39,29,1,0,174,158,303,522,585,381,181,104,63,151
3131593,tt1252571,https://movie.douban.com/subject/3131593,http://www.imdb.com/title/tt1252571,青春期,2006,唐大年,/subject_search?search_text=%E5%94%90%E5%A4%A7%E5%B9%B4,['剧情'],['2007-10-08'],China: 103 分钟,"['2043497', '1806672', '2990329', '4067758', '2023864', '3032468', '2990305', '2132912', '2326212', '1452109']",1830,7,5.4874316939890715,5.0,274,403,767,295,92,0,1,1,1,2,1,0,0,0,1
1947278,tt0081793,https://movie.douban.com/subject/1947278,http://www.imdb.com/title/tt0081793,圣诞恶魔 You Better Watch Out,1980,Lewis Jackson,/subject_search?search_text=Lewis%20Jackson,"['惊悚', '恐怖']",['1985-12-21'],100 分钟,"['1293338', '3347351', '2132410', '1292455', '3838694', '2141654', '1947274', '2567667', '3706738', '3706726']",53,4931,6.0,6.327316974244576,9,9,19,5,11,269,250,333,477,628,617,544,450,356,1007
1294580,tt0091989,https://movie.douban.com/subject/1294580,http://www.imdb.com/title/tt0091989,其后 それから,1985,森田芳光,/celebrity/1008276/,['剧情'],['1985-11-09(日本)'],130分钟,"['1302082', '1298870', '1858233', '1422091', '1303600', '1308506', '1419479', '1292338', '1293329', '1308447']",4450,230,8.613932584269662,7.308695652173914,9,40,507,1914,1980,4,5,3,7,13,29,50,59,31,29
1303373,tt0054047,https://movie.douban.com/subject/1303373,http://www.imdb.com/title/tt0054047,豪勇七蛟龙 The Magnificent Seven,1960,约翰·斯特奇斯,/celebrity/1016714/,"['动作', '西部']",['1960-11-23(美国)'],128 分钟,"['1293380', '1294263', '1292507', '1292767', '2354771', '1295586', '1296963', '1292944', '1294415', '1296320']",2850,80135,7.4456140350877185,7.836862794035065,14,111,926,1379,416,453,172,334,738,2096,6350,19194,27403,12856,10539
6389479,tt1921070,https://movie.douban.com/subject/6389479,http://www.imdb.com/title/tt1921070,末路狂奔 Pusher,2012, 路易斯·普瑞托,/celebrity/1345618/,"['动作', '惊悚', '犯罪']",['2012-06-21(英国)'],88分钟,"['27174607', '6875300', '10440198', '6875438', '10862816', '1938951', '3073160', '6040997', '6859752', '3078391']",345,4332,5.6000000000000005,5.564404432132964,24,91,169,52,9,235,130,218,437,921,1115,741,266,92,177
26700688,tt4273292,https://movie.douban.com/subject/26700688,http://www.imdb.com/title/tt4273292,阴影之下 Under the Shadow,2016,巴巴克·安瓦里,/celebrity/1359977/,"['剧情', '恐怖']","['2016-01-22(圣丹斯电影节)', '2016-09-30(英国)']",84分钟,"['26602794', '26684564', '26276364', '25870483', '26909515', '25785812', '26972597', '25980723', '26339213', '6860147']",4774,18217,6.4361122748219515,6.880057089531755,129,563,2497,1308,277,387,190,287,574,1364,3198,5656,4162,1476,923
1947282,tt0454776,https://movie.douban.com/subject/1947282,http://www.imdb.com/title/tt0454776,奇异的恩典 Amazing Grace,2006,迈克尔·艾普特,/celebrity/1007078/,"['剧情', '爱情', '传记', '历史']",['2006-09-16'],117 分钟,"['1482022', '2133337', '1987280', '4921358', '1458424', '3205567', '1440857', '1449406', '11580479', '1866264']",5130,22817,8.157894736842106,7.705263619231275,10,72,970,2509,1565,273,131,147,332,872,2444,5438,6047,3289,3844
